,calories,protein,fat,sodium,rating
380,229.0,2.0,6.0,18.0,5.0
383,288.0,4.0,17.0,130.0,4.375
384,129.0,1.0,9.0,34.0,4.375
385,231.0,3.0,15.0,11.0,4.375
386,245.0,0.0,0.0,0.0,0.0
387,140.0,1.0,11.0,18.0,4.375
389,593.0,47.0,40.0,318.0,4.375
390,259.0,5.0,23.0,62.0,4.375
391,430.0,9.0,19.0,364.0,3.125
392,395.0,1.0,28.0,88.0,5.0
394,910.0,31.0,37.0,1018.0,4.375
395,324.0,24.0,21.0,104.0,4.375
396,309.0,5.0,19.0,73.0,4.375
398,268.0,6.0,11.0,65.0,3.75
400,369.0,31.0,15.0,536.0,3.75
401,532.0,25.0,32.0,1329.0,4.375
405,105.0,1.0,7.0,31.0,3.125
406,845.0,119.0,31.0,463.0,3.75
407,277.0,5.0,12.0,15.0,3.75
409,595.0,26.0,37.0,955.0,3.75
411,196.0,5.0,0.0,7.0,2.5
414,608.0,7.0,3.0,8.0,0.0
415,607.0,36.0,41.0,143.0,5.0
417,687.0,38.0,53.0,1351.0,5.0
418,354.0,32.0,20.0,674.0,4.375
419,405.0,6.0,13.0,383.0,5.0
420,385.0,7.0,25.0,110.0,3.75
424,101.0,5.0,4.0,193.0,2.5
425,496.0,7.0,15.0,178.0,3.75
427,238.0,5.0,17.0,2.0,4.375
428,314.0,11.0,27.0,484.0,5.0
429,117.0,1.0,11.0,74.0,3.75
431,316.0,5.0,8.0,64.0,4.375
432,1010.0,54.0,72.0,689.0,4.375
433,197.0,4.0,11.0,93.0,4.375
434,557.0,7.0,23.0,75.0,4.375
435,188.0,4.0,17.0,54.0,4.375
436,315.0,3.0,19.0,261.0,5.0
437,1279.0,65.0,100.0,348.0,4.375
438,257.0,3.0,6.0,687.0,5.0
439,329.0,4.0,20.0,31.0,3.75
440,572.0,46.0,41.0,859.0,5.0
441,143.0,6.0,9.0,143.0,3.75
442,258.0,1.0,13.0,64.0,4.375
443,153.0,5.0,10.0,53.0,3.75
444,378.0,10.0,16.0,619.0,3.75
445,275.0,2.0,0.0,6.0,0.0
447,782.0,115.0,31.0,231.0,4.375
448,752.0,32.0,31.0,1065.0,3.75
449,212.0,5.0,11.0,556.0,3.75
451,651.0,29.0,38.0,2640.0,4.375
452,324.0,14.0,11.0,317.0,3.75
453,406.0,0.0,0.0,10.0,3.75
454,136.0,1.0,0.0,20.0,4.375
455,681.0,65.0,39.0,411.0,3.75
456,986.0,1.0,108.0,10.0,3.75
457,296.0,8.0,23.0,1564.0,3.75
458,337.0,2.0,26.0,1303.0,5.0
459,909.0,30.0,23.0,1302.0,5.0
460,366.0,18.0,29.0,865.0,4.375
461,394.0,9.0,20.0,8.0,3.75
462,253.0,1.0,0.0,7.0,3.75
464,429.0,10.0,43.0,218.0,3.75
466,229.0,4.0,12.0,224.0,4.375
467,371.0,22.0,21.0,891.0,3.125
470,299.0,13.0,7.0,35.0,2.5
471,116.0,12.0,5.0,364.0,4.375
473,221.0,6.0,17.0,52.0,4.375
474,506.0,29.0,26.0,1117.0,4.375
475,143.0,2.0,1.0,26.0,4.375
477,724.0,8.0,34.0,552.0,4.375
478,148.0,0.0,0.0,82.0,5.0
479,397.0,18.0,33.0,695.0,5.0
480,338.0,5.0,31.0,574.0,0.0
481,1454.0,103.0,96.0,1206.0,4.375
483,648.0,5.0,18.0,109.0,4.375
484,878.0,48.0,61.0,251.0,4.375
485,150.0,2.0,12.0,323.0,4.375
486,209.0,9.0,9.0,246.0,3.75
488,368.0,28.0,24.0,793.0,4.375
489,732.0,30.0,39.0,1472.0,4.375
490,240.0,14.0,20.0,145.0,3.75
493,712.0,51.0,40.0,3291.0,4.375
496,201.0,5.0,7.0,24.0,2.5
497,487.0,14.0,26.0,148.0,3.75
500,102.0,0.0,0.0,2.0,4.375
501,654.0,39.0,25.0,1146.0,3.75
502,323.0,23.0,19.0,1505.0,3.75
503,150.0,8.0,5.0,937.0,4.375
504,167.0,3.0,7.0,97.0,4.375
507,205.0,5.0,14.0,464.0,3.75
510,288.0,7.0,4.0,764.0,4.375
511,548.0,48.0,35.0,703.0,4.375
512,428.0,24.0,21.0,445.0,5.0
513,603.0,31.0,22.0,867.0,5.0
514,431.0,25.0,27.0,214.0,5.0
515,1015.0,6.0,48.0,485.0,3.125
517,113.0,0.0,0.0,0.0,0.0
518,525.0,41.0,33.0,1002.0,4.375
519,1107.0,63.0,79.0,2236.0,4.375
520,1145.0,63.0,81.0,1939.0,3.75
522,243.0,6.0,10.0,288.0,4.375
524,158.0,2.0,12.0,523.0,4.375
525,814.0,11.0,34.0,170.0,4.375
526,236.0,7.0,14.0,35.0,4.375
528,136.0,0.0,0.0,1.0,5.0
529,1552.0,60.0,106.0,3916.0,3.75
530,682.0,28.0,39.0,1316.0,4.375
532,135.0,3.0,6.0,257.0,4.375
533,105.0,6.0,9.0,281.0,3.75
534,871.0,93.0,48.0,248.0,3.75
536,460.0,15.0,26.0,66.0,5.0
537,158.0,3.0,11.0,38.0,5.0
538,553.0,48.0,38.0,97225.0,5.0
540,168.0,6.0,9.0,154.0,3.75
542,127.0,3.0,10.0,20.0,3.125
543,407.0,36.0,26.0,734.0,3.75
544,1012.0,57.0,80.0,1287.0,5.0
